                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5463,                 1.9976,                 2.0163,                0.09532,                0.40385,                0.09382,                0.02875,                 2.6336,                 35.593,                 4.1566,             0.00066111,             0.00066111,             0.00066111
                      2,                 1.6431,                 1.8287,                  2.075,                0.37111,                0.40385,                0.27099,                0.07206,                 2.7067,                 2.3669,                 3.7211,              0.0013146,              0.0013146,              0.0013146
                      3,                 1.7186,                 2.3554,                 2.1476,                0.36777,                0.40385,                 0.3169,                0.10385,                 2.6042,                 3.1215,                 3.8836,               0.001955,               0.001955,               0.001955
                      4,                 1.8491,                 1.9707,                 2.1663,                0.27549,                0.32692,                0.14936,                0.04725,                  2.792,                 3.9109,                 4.3845,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6534,                  1.839,                 2.0686,                0.12779,                0.36538,                0.11532,                0.04109,                 2.4297,                 2.5393,                 3.4832,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5571,                 1.6769,                 1.9866,                0.39528,                0.32692,                0.27715,                0.07112,                 2.3549,                 3.8398,                  3.509,               0.001901,               0.001901,               0.001901
                      7,                 1.6138,                 1.6991,                 1.9889,                 0.1259,                0.44231,                0.09007,                0.02937,                 2.3533,                 4.2253,                 3.3973,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5161,                 1.6496,                   1.91,                0.39683,                0.31641,                0.30593,                 0.0942,                  2.424,                 2.3017,                 3.3054,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5079,                 1.6196,                 1.9441,                0.50799,                 0.5163,                0.39924,                0.12311,                 2.4783,                  2.283,                 4.1164,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4455,                 1.5151,                 1.8557,                0.36805,                0.51923,                0.39279,                0.12092,                 2.4881,                  2.195,                 3.5138,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4109,                 1.3153,                 1.8041,                0.73451,                0.34615,                0.41413,                0.16064,                 2.3899,                 2.0766,                 3.4757,               0.001802,               0.001802,               0.001802
                     12,                  1.337,                 1.2798,                 1.7142,                 0.5057,                0.48077,                0.42464,                0.13128,                 2.3426,                 1.9261,                 3.1589,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2785,                 1.2659,                 1.7344,                0.65068,                0.44231,                0.48832,                0.15831,                 2.3679,                 2.0323,                 3.3318,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3343,                 1.2405,                 1.7375,                0.57616,                0.23077,                0.23278,                0.08662,                 2.5426,                 2.9141,                   3.39,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3286,                 1.1902,                 1.7407,                0.71039,                0.40385,                0.43705,                0.16044,                  2.603,                 2.0987,                 4.0384,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3276,                 1.1868,                 1.7499,                0.70542,                0.46154,                0.52097,                0.16683,                 2.4575,                 1.9343,                 3.5469,               0.001703,               0.001703,               0.001703
                     17,                  1.216,                 1.1144,                 1.6443,                0.48868,                0.42274,                0.37531,                0.13851,                 2.7029,                 2.1932,                  3.773,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1774,                 1.0323,                 1.6215,                0.76466,                0.49988,                0.52676,                 0.1922,                 2.4786,                 1.6969,                 3.5788,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1251,                0.99965,                 1.6007,                0.60822,                    0.5,                0.46894,                0.16801,                 2.5761,                 1.7448,                 3.7214,              0.0016436,              0.0016436,              0.0016436
