                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5773,                 1.9705,                 2.0085,                0.23865,                0.21099,                0.17326,                 0.0433,                 2.6597,                  2.458,                 3.9179,             0.00066111,             0.00066111,             0.00066111
                      2,                 1.7869,                 2.0128,                 2.2059,                0.28827,                 0.2182,                0.17224,                0.04173,                 2.7647,                  3.543,                 4.5454,              0.0013146,              0.0013146,              0.0013146
                      3,                 1.7699,                 1.9873,                 2.1444,                0.04524,                    0.5,                 0.0333,                0.00831,                 2.8635,                 2.8644,                 4.0709,               0.001955,               0.001955,               0.001955
                      4,                 1.7674,                 1.8457,                 2.1048,                0.02414,                0.26923,                0.01623,                0.00411,                 3.2157,                 19.008,                 4.9621,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.681,                 1.8199,                 2.0907,                0.37438,                0.38462,                0.32385,                0.08332,                 2.5203,                 3.0185,                 3.9806,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6373,                 1.6797,                 2.0932,                0.41282,                0.44231,                 0.3833,                0.13448,                 2.4554,                 2.6483,                 3.5169,               0.001901,               0.001901,               0.001901
                      7,                 1.6794,                 1.5806,                  2.034,                0.34254,                0.38462,                0.23117,                 0.0646,                 2.8087,                  2.389,                 3.9926,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5781,                 1.5222,                 1.9523,                0.53812,                0.34615,                0.36996,                0.11889,                 2.7542,                 2.0901,                 3.8768,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4824,                 1.5367,                 1.9278,                0.37316,                0.40385,                0.31058,                 0.0917,                 2.5811,                 2.3377,                 3.5888,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4993,                 1.4722,                 1.9105,                0.52645,                0.40385,                0.45658,                0.17199,                 2.4427,                 2.1394,                 3.4342,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4179,                  1.401,                 1.8253,                0.49692,                0.38462,                0.41918,                0.14153,                  2.434,                 2.0765,                 3.5007,               0.001802,               0.001802,               0.001802
                     12,                 1.3812,                 1.2881,                 1.7787,                0.46507,                0.45151,                0.37137,                0.13911,                 2.4929,                 1.8816,                 3.6272,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3315,                  1.222,                  1.772,                0.53757,                0.44231,                0.43896,                0.14317,                 2.4787,                 2.0668,                 3.2929,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3204,                 1.2294,                 1.7462,                0.43288,                0.44231,                0.37416,                0.14922,                 2.4976,                 2.0569,                 3.2869,              0.0017426,              0.0017426,              0.0017426
                     15,                   1.28,                 1.2024,                  1.742,                0.55208,                0.45046,                0.43915,                0.17396,                 2.3997,                 1.9636,                 3.3211,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2488,                 1.1827,                 1.6878,                0.45755,                0.38938,                0.32685,                0.09692,                 2.3661,                 1.9867,                 3.2948,               0.001703,               0.001703,               0.001703
