                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26727,                0.65095,                 94.213,                0.38175,                 0.1416,                0.33333,                0.09588,                0.05286,                0.09527,                0.16667,                0.05063,                0.03556,                 1.0055,                 1.7761,                 5.2069,                 1.3193,                0.00024,                0.00024,                0.00024
                      2,                0.65222,                  1.398,                 87.404,                0.76799,                0.08136,                0.33333,                0.06533,                0.04167,                0.08136,                0.33333,                0.06533,                 0.0306,                0.97869,                  1.734,                 5.5731,                 1.3057,             0.00049835,             0.00049835,             0.00049835
                      3,                0.51963,                 1.0193,                 406.78,                0.54725,                0.08136,                0.33333,                0.06533,                0.04167,                0.08136,                0.33333,                0.06533,                 0.0306,                 1.7484,                  2.503,                 902.63,                 1.7939,             0.00075498,             0.00075498,             0.00075498
                      1,                0.35981,                0.70055,                 57.145,                 0.4145,                0.10367,                0.66667,                0.08952,                0.05798,                0.10855,                0.16667,                0.05953,                 0.0423,                0.85964,                 1.5975,                  5.868,                 1.1986,                0.00048,                0.00048,                0.00048
                      2,                0.13079,                 0.2845,                 69.778,                0.18558,                0.14214,                0.66667,                0.13567,                0.09137,                0.14214,                0.66667,                0.13567,                 0.0679,                0.84778,                 1.5054,                 6.2685,                 1.1841,             0.00097677,             0.00097677,             0.00097677
                      3,                0.12513,                0.27811,                 67.852,                0.20413,                0.19619,                0.66667,                0.13847,                0.07776,                0.19619,                0.66667,                0.13847,                 0.0621,                0.87825,                 1.5417,                 6.7727,                 1.1709,              0.0014702,              0.0014702,              0.0014702
                      4,                0.03002,                0.31058,                 79.403,                0.03809,                0.26235,                0.33333,                0.17744,                0.10936,                0.26235,                0.33333,                0.17744,                0.09613,                0.80259,                 1.5035,                 6.5545,                 1.1086,              0.0019604,              0.0019604,              0.0019604
                      5,                0.16518,                0.27499,                 68.264,                0.23846,                0.19171,                0.33333,                0.12126,                0.06858,                0.17242,                0.16667,                0.06873,                0.04066,                0.79003,                 1.4768,                 6.6463,                 1.0973,              0.0019736,              0.0019736,              0.0019736
                      6,                0.50096,                0.80369,                 181.36,                0.39111,                0.19171,                0.33333,                0.12126,                0.06858,                0.17242,                0.16667,                0.06873,                0.04066,                 4.4411,                 27.109,                   6411,                 11.191,               0.001967,               0.001967,               0.001967
                      7,                0.69364,                 2.8607,                 514.43,                0.60021,                0.00192,                0.66667,                0.00197,                0.00042,                0.00202,                    0.5,                0.00173,                0.00034,                 2.9429,                  6.045,                 52.623,                 2.7884,              0.0019604,              0.0019604,              0.0019604
                      8,                0.66574,                 1.6375,                 522.89,                0.48872,                0.00192,                0.66667,                0.00197,                0.00042,                0.00202,                    0.5,                0.00173,                0.00034,                 2.9429,                  6.045,                 52.623,                 2.7884,              0.0019538,              0.0019538,              0.0019538
                      9,                   1.02,                 2.0833,                  539.5,                0.79153,                0.00479,                    0.5,                0.00361,                0.00049,                0.00158,                    0.5,                 0.0013,                0.00016,                 3.3258,                 6.2656,                 123.35,                 2.6708,              0.0019472,              0.0019472,              0.0019472
